criterion,splitter,max_features,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,min_impurity_decrease,ccp_alpha,fitness_score,generation
entropy,best,,25,5,7,12,0.01650370174372224,0.01074953121613139,0.8089727174234216,29
entropy,best,log2,24,7,7,6,0.015284809659963483,0.01074953121613139,0.7401654683344824,30
entropy,best,sqrt,25,6,7,6,0.01650370174372224,0.01074953121613139,0.7134738500935683,30
entropy,best,sqrt,25,6,7,6,0.015284809659963483,0.01074953121613139,0.7134738500935683,30
entropy,best,,24,7,7,7,0.01650370174372224,0.01074953121613139,0.8089727174234216,30
entropy,best,sqrt,25,7,7,6,0.015284809659963483,0.01074953121613139,0.7134738500935683,30
entropy,best,,25,6,7,6,0.01650370174372224,0.01074953121613139,0.8117896188318724,30
entropy,best,,24,8,7,8,0.0,0.01074953121613139,0.7976952624839948,30
entropy,best,,25,6,6,6,0.01650370174372224,0.0,0.8019994090416626,30
entropy,best,log2,24,6,7,6,0.01650370174372224,0.01074953121613139,0.7401654683344824,31
entropy,best,log2,26,6,7,5,0.0039023728026114177,0.01074953121613139,0.724780852949867,31
entropy,best,,24,6,7,6,0.01650370174372224,0.01074953121613139,0.8117896188318724,31
entropy,best,,25,7,6,9,0.01650370174372224,0.01074953121613139,0.8089727174234216,31
entropy,best,,23,7,7,6,0.022041044139976717,0.01074953121613139,0.8019994090416626,31
entropy,best,,26,6,7,6,0.01650370174372224,0.01074953121613139,0.8117896188318724,31
entropy,random,,25,6,7,6,0.01650370174372224,0.024991885316831764,0.792169802028957,31
entropy,best,,24,7,7,10,0.01650370174372224,0.01074953121613139,0.8089727174234216,31
entropy,best,,24,6,7,5,0.01650370174372224,0.01074953121613139,0.7992022062444597,32
entropy,best,,26,6,7,9,0.03574254549840681,0.01074953121613139,0.7907613513247316,32
entropy,best,,24,6,7,6,0.0,0.01074953121613139,0.8019304639022948,32
entropy,best,,24,6,8,6,0.01650370174372224,0.01074953121613139,0.8089924160346695,32
entropy,random,,26,6,7,6,0.014723866801582112,0.01074953121613139,0.792169802028957,32
entropy,random,,24,6,7,6,0.01650370174372224,0.0,0.792169802028957,32
entropy,best,,26,6,7,6,0.01650370174372224,0.009107912176866887,0.8117896188318724,32
gini,best,,26,6,7,6,0.01650370174372224,0.01074953121613139,0.7907613513247316,33
